OP_Name,Instance,Status,ColorTime,LabellingTime,UsingMIP,UsingPolyColors,Notes,TotalTime,Solution
"OP(25,6,5,4)",0,Solved,0.4698,0.0800,false,false," 8",0.5418,"(\infty_1, (12,1), (0,1), \infty_2, (11,2), (1,1), (2,2), (3,1), (3,2), (7,1), (15,1), (4,2), (5,2), (7,2), (10,2), (4,1), (8,2), (10,1), (9,1), (14,2), (11,1), (6,1), (13,2), (6,2), (0,2)) ((14,1), (16,1), (13,1), (17,1), (12,2), (16,2)) ((18,2), (2,1), (15,2), (1,2), (9,2)) ((5,1), (17,2), (8,1), (18,1)) "
"OP(25,6,3,3,3)",0,Solved,0.4027,0.2290,false,false," 15",0.6740,"(\infty_1, (3,1), (4,1), \infty_2, (8,2), (10,1), (6,2), (11,1), (12,2), (12,1), (16,1), (0,2), (9,2), (17,2), (14,2), (7,1), (9,1), (18,1), (2,1), (18,2), (4,2), (13,1), (5,2), (7,2), (11,2)) ((1,1), (8,1), (14,1), (6,1), (15,2), (3,2)) ((1,2), (15,1), (2,2)) ((10,2), (16,2), (17,1)) ((13,2), (0,1), (5,1)) "
"OP(25,5,5,5)",0,Solved,0.4027,0.0720,false,false," 16",0.5166,"(\infty_1, (0,1), (1,1), \infty_2, (4,2), (11,1), (5,2), (17,1), (16,2), (12,1), (9,1), (6,2), (0,2), (8,2), (1,2), (3,1), (5,1), (14,1), (18,1), (7,2), (9,2), (7,1), (3,2), (12,2), (11,2)) ((2,1), (13,1), (8,1), (15,1), (2,2)) ((10,2), (14,2), (4,1), (18,2), (13,2)) ((15,2), (6,1), (17,2), (16,1), (10,1)) "
"OP(25,5,4,3,3)",0,Solved,0.4027,0.0970,false,false," 0",0.5397,"(\infty_1, (14,1), (6,1), \infty_2, (6,2), (7,1), (14,2), (3,1), (8,2), (11,1), (13,1), (11,2), (17,2), (18,2), (2,2), (15,1), (8,1), (5,1), (1,1), (3,2), (15,2), (0,1), (13,2), (9,2), (4,2)) ((18,1), (9,1), (4,1), (10,1), (0,2)) ((16,2), (5,2), (12,1), (7,2)) ((12,2), (10,2), (2,1)) ((1,2), (17,1), (16,1)) "
"OP(25,4,4,4,3)",0,Solved,0.4027,0.0410,false,false," 12",0.4804,"(\infty_1, (8,1), (2,1), \infty_2, (9,2), (13,1), (4,2), (10,1), (5,2), (15,1), (16,1), (1,2), (12,2), (16,2), (6,2), (1,1), (7,2), (6,1), (14,1), (14,2), (3,1), (5,1), (13,2), (11,2), (17,2)) ((4,1), (7,1), (12,1), (0,1)) ((10,2), (3,2), (8,2), (11,1)) ((0,2), (18,2), (15,2), (17,1)) ((2,2), (9,1), (18,1)) "
"OP(25,3,3,3,3,3)",0,Solved,0.4027,0.3990,false,false," 12",0.8622,"(\infty_1, (9,1), (5,1), \infty_2, (12,2), (7,1), (6,2), (6,1), (17,2), (4,1), (18,1), (0,2), (15,2), (10,2), (8,2), (12,1), (15,1), (13,1), (0,1), (2,2), (5,2), (2,1), (16,2), (7,2), (13,2)) ((3,1), (10,1), (11,1)) ((1,1), (18,2), (11,2)) ((3,2), (14,1), (4,2)) ((9,2), (1,2), (16,1)) ((14,2), (8,1), (17,1)) "
"OP(24,13,3)",0,Solved,0.4027,0.0910,false,false," 4",0.5539,"(\infty_1, (17,1), (11,1), \infty_2, (7,2), (6,1), (9,2), (3,1), (2,2), (2,1), (16,1), (11,2), (13,2), (16,2), (5,2), (12,1), (10,2), (1,1), (8,1), (15,2), (13,1), (14,1), (6,2), (12,2)) ((15,1), (0,1), (10,1), (7,1), (5,1), (18,2), (14,2), (0,2), (9,1), (17,2), (8,2), (1,2), (4,1)) ((3,2), (4,2), (18,1)) "
"OP(24,12,4)",0,Solved,0.4698,0.0710,false,false," 0",0.5311,"(\infty_1, (0,1), (1,1), \infty_2, (1,2), (2,1), (4,2), (3,1), (10,2), (14,1), (4,1), (12,2), (15,2), (17,2), (16,2), (5,1), (9,2), (6,1), (9,1), (0,2), (10,1), (8,1), (6,2), (18,2)) ((13,1), (7,1), (15,1), (11,1), (18,1), (13,2), (8,2), (2,2), (16,1), (3,2), (11,2), (7,2)) ((12,1), (5,2), (14,2), (17,1)) "
"OP(24,11,5)",0,Solved,0.4027,0.1060,false,false," 10",0.5847,"(\infty_1, (1,1), (2,1), \infty_2, (11,2), (4,1), (4,2), (6,1), (8,2), (7,1), (13,1), (9,2), (14,2), (10,2), (18,2), (8,1), (17,1), (10,1), (18,1), (2,2), (0,2), (15,1), (12,2), (5,2)) ((14,1), (9,1), (5,1), (3,1), (0,1), (13,2), (16,2), (17,2), (12,1), (1,2), (7,2)) ((3,2), (11,1), (6,2), (15,2), (16,1)) "
"OP(24,10,6)",0,Solved,0.4027,0.0610,false,false," 3",0.5302,"(\infty_1, (12,1), (0,1), \infty_2, (16,2), (6,1), (18,2), (15,1), (7,2), (3,1), (2,1), (15,2), (9,2), (5,2), (10,2), (8,1), (16,1), (14,1), (9,1), (14,2), (13,2), (18,1), (8,2), (17,2)) ((1,1), (11,1), (7,1), (13,1), (10,1), (11,2), (0,2), (12,2), (5,1), (1,2)) ((6,2), (3,2), (4,1), (2,2), (4,2), (17,1)) "
"OP(24,10,3,3)",0,Solved,0.4027,0.2150,false,false," 9",0.6789,"(\infty_1, (14,1), (6,1), \infty_2, (16,2), (2,1), (6,2), (18,1), (4,2), (5,1), (3,1), (3,2), (12,2), (11,2), (8,2), (0,1), (16,1), (12,1), (11,1), (14,2), (18,2), (7,1), (9,2), (1,2)) ((1,1), (13,1), (8,1), (17,1), (4,1), (17,2), (15,2), (2,2), (15,1), (13,2)) ((7,2), (0,2), (10,1)) ((10,2), (5,2), (9,1)) "
"OP(24,9,7)",0,Solved,0.4027,0.2350,false,false," 16",0.6900,"(\infty_1, (6,1), (0,1), \infty_2, (3,2), (2,1), (11,2), (1,1), (9,2), (3,1), (10,1), (8,2), (18,2), (15,2), (7,2), (15,1), (1,2), (16,1), (8,1), (4,2), (7,1), (5,1), (5,2), (10,2)) ((13,1), (18,1), (9,1), (12,1), (11,1), (6,2), (12,2), (0,2), (17,1)) ((16,2), (14,2), (13,2), (14,1), (2,2), (17,2), (4,1)) "
"OP(24,9,4,3)",0,Solved,0.4027,0.1400,false,false," 0",0.5806,"(\infty_1, (3,1), (4,1), \infty_2, (4,2), (5,1), (12,2), (6,1), (3,2), (1,1), (7,1), (18,2), (9,2), (16,2), (10,2), (14,1), (7,2), (12,1), (16,1), (2,2), (13,1), (18,1), (0,2), (11,2)) ((8,1), (11,1), (9,1), (2,1), (10,1), (14,2), (15,2), (1,2), (17,1)) ((5,2), (8,2), (6,2), (15,1)) ((13,2), (17,2), (0,1)) "
"OP(24,8,8)",0,Solved,0.4027,0.1160,false,false," 16",0.5656,"(\infty_1, (0,1), (1,1), \infty_2, (4,2), (2,1), (16,2), (3,1), (14,2), (4,1), (6,1), (12,2), (8,2), (13,2), (2,2), (17,1), (3,2), (5,1), (10,1), (0,2), (18,1), (9,1), (17,2), (11,2)) ((7,1), (14,1), (8,1), (16,1), (13,1), (1,2), (18,2), (6,2)) ((11,1), (7,2), (10,2), (9,2), (12,1), (5,2), (15,2), (15,1)) "
"OP(24,8,5,3)",0,Solved,0.4698,0.0330,false,false," 14",0.4813,"(\infty_1, (8,1), (14,1), \infty_2, (0,2), (17,1), (16,2), (16,1), (14,2), (5,1), (3,1), (7,2), (13,2), (6,2), (1,2), (7,1), (3,2), (0,1), (9,1), (15,2), (4,1), (1,1), (2,2), (11,2)) ((10,1), (18,1), (11,1), (6,1), (2,1), (9,2), (17,2), (18,2)) ((13,1), (4,2), (8,2), (5,2), (12,1)) ((12,2), (10,2), (15,1)) "
"OP(24,8,4,4)",0,Solved,0.4027,0.0720,false,false," 0",0.5210,"(\infty_1, (0,1), (1,1), \infty_2, (1,2), (2,1), (4,2), (3,1), (10,2), (14,1), (4,1), (12,2), (13,2), (16,2), (18,2), (5,1), (9,2), (6,1), (9,1), (0,2), (10,1), (8,1), (6,2), (17,2)) ((13,1), (7,1), (15,1), (11,1), (18,1), (11,2), (15,2), (5,2)) ((16,1), (2,2), (8,2), (3,2)) ((12,1), (7,2), (14,2), (17,1)) "
"OP(24,7,6,3)",0,Solved,0.4027,0.0430,false,false," 9",0.4889,"(\infty_1, (10,1), (18,1), \infty_2, (9,2), (11,1), (7,2), (3,1), (4,2), (1,1), (0,1), (2,2), (15,2), (11,2), (0,2), (13,1), (9,1), (6,1), (4,1), (16,2), (6,2), (16,1), (5,2), (8,2)) ((17,1), (8,1), (14,1), (7,1), (12,1), (12,2), (14,2)) ((10,2), (15,1), (3,2), (17,2), (18,2), (5,1)) ((13,2), (1,2), (2,1)) "
"OP(24,7,5,4)",0,Solved,0.4027,0.1830,false,false," 9",0.6245,"(\infty_1, (8,1), (1,1), \infty_2, (11,2), (11,1), (7,2), (3,1), (8,2), (10,1), (2,1), (3,2), (12,2), (4,2), (9,2), (16,1), (0,2), (5,1), (7,1), (18,2), (0,1), (13,1), (15,2), (17,2)) ((6,1), (9,1), (18,1), (14,1), (15,1), (2,2), (14,2)) ((13,2), (4,1), (1,2), (16,2), (10,2)) ((17,1), (5,2), (6,2), (12,1)) "
"OP(24,7,3,3,3)",0,Solved,0.4027,0.1550,false,false," 3",0.5949,"(\infty_1, (1,1), (13,1), \infty_2, (10,2), (3,1), (18,2), (6,1), (8,2), (17,1), (18,1), (0,2), (1,2), (4,2), (2,2), (10,1), (14,1), (0,1), (9,1), (7,2), (16,2), (7,1), (11,2), (5,2)) ((5,1), (8,1), (2,1), (4,1), (15,1), (9,2), (13,2)) ((12,2), (12,1), (17,2)) ((6,2), (14,2), (11,1)) ((3,2), (15,2), (16,1)) "
"OP(24,6,6,4)",0,Solved,0.4027,0.0640,false,false," 0",0.5154,"(\infty_1, (0,1), (1,1), \infty_2, (1,2), (2,1), (4,2), (3,1), (10,2), (14,1), (4,1), (15,2), (16,2), (18,2), (13,2), (5,1), (9,2), (6,1), (9,1), (0,2), (10,1), (8,1), (5,2), (8,2)) ((13,1), (7,1), (15,1), (11,1), (18,1), (11,2)) ((17,2), (2,2), (16,1), (3,2), (14,2), (7,2)) ((12,1), (6,2), (12,2), (17,1)) "
"OP(24,6,5,5)",0,Solved,0.4027,0.0660,false,false," 16",0.5197,"(\infty_1, (0,1), (1,1), \infty_2, (4,2), (8,1), (5,2), (17,1), (16,2), (11,1), (15,1), (6,2), (0,2), (8,2), (1,2), (3,1), (5,1), (10,1), (13,1), (7,2), (9,2), (16,1), (3,2), (12,2)) ((2,1), (12,1), (6,1), (18,1), (7,1), (2,2)) ((10,2), (11,2), (9,1), (17,2), (14,2)) ((15,2), (4,1), (13,2), (18,2), (14,1)) "
"OP(24,6,4,3,3)",0,Solved,0.4027,0.1300,false,false," 11",0.5813,"(\infty_1, (11,1), (17,1), \infty_2, (6,2), (3,1), (0,2), (14,1), (2,2), (1,1), (6,1), (18,2), (12,2), (9,2), (17,2), (7,1), (0,1), (4,1), (5,1), (11,2), (1,2), (16,1), (10,2), (15,2)) ((12,1), (9,1), (18,1), (10,1), (8,1), (8,2)) ((7,2), (5,2), (13,1), (3,2)) ((13,2), (14,2), (15,1)) ((4,2), (16,2), (2,1)) "
"OP(24,5,5,3,3)",0,Solved,0.4027,0.0340,false,false," 6",0.4782,"(\infty_1, (6,1), (11,1), \infty_2, (5,2), (5,1), (15,2), (16,1), (12,2), (7,1), (3,1), (17,2), (9,2), (14,2), (8,2), (10,1), (2,2), (0,1), (18,1), (0,2), (10,2), (4,1), (11,2), (7,2)) ((1,1), (12,1), (9,1), (15,1), (13,1)) ((13,2), (16,2), (18,2), (2,1), (6,2)) ((17,1), (1,2), (8,1)) ((4,2), (3,2), (14,1)) "
"OP(24,5,4,4,3)",0,Solved,0.4027,0.2150,false,false," 17",0.6583,"(\infty_1, (12,1), (5,1), \infty_2, (7,2), (3,1), (13,2), (10,1), (9,2), (4,1), (2,1), (16,2), (12,2), (3,2), (14,2), (18,1), (15,2), (14,1), (17,1), (10,2), (1,1), (15,1), (2,2), (1,2)) ((13,1), (9,1), (0,1), (8,1), (7,1)) ((18,2), (6,2), (11,2), (11,1)) ((4,2), (17,2), (0,2), (6,1)) ((5,2), (8,2), (16,1)) "
"OP(24,4,4,4,4)",0,Solved,0.4698,1.2960,false,false," 17",1.7671,"(\infty_1, (7,1), (18,1), \infty_2, (1,2), (2,1), (6,2), (6,1), (9,2), (13,1), (11,1), (12,2), (13,2), (16,2), (14,2), (8,1), (5,2), (0,1), (14,1), (7,2), (16,1), (15,1), (4,2), (10,2)) ((12,1), (3,1), (9,1), (5,1)) ((10,1), (2,2), (11,2), (0,2)) ((4,1), (17,2), (3,2), (18,2)) ((1,1), (8,2), (15,2), (17,1)) "
"OP(24,4,3,3,3,3)",0,Solved,0.4027,0.0460,false,false," 0",0.4921,"(\infty_1, (2,1), (0,1), \infty_2, (0,2), (8,1), (2,2), (9,1), (18,2), (10,1), (18,1), (1,2), (9,2), (5,2), (11,2), (7,1), (4,1), (13,1), (14,1), (13,2), (16,2), (11,1), (17,2), (8,2)) ((1,1), (5,1), (12,1), (6,1)) ((15,1), (3,2), (10,2)) ((4,2), (3,1), (6,2)) ((7,2), (12,2), (16,1)) ((14,2), (15,2), (17,1)) "
"OP(23,14,3)",0,Solved,0.4027,0.4340,false,false," 10",0.8827,"(\infty_1, (16,1), (10,1), \infty_2, (0,2), (0,1), (4,2), (15,1), (1,2), (18,1), (8,1), (9,2), (5,2), (13,2), (7,2), (11,1), (12,1), (17,1), (1,1), (18,2), (2,2), (3,1), (6,2)) ((15,2), (5,1), (13,1), (9,1), (7,1), (14,1), (8,2), (17,2), (12,2), (6,1), (3,2), (10,2), (11,2), (4,1)) ((14,2), (16,2), (2,1)) "
"OP(23,13,4)",0,Solved,0.4027,0.0630,false,false," 0",0.5164,"(\infty_1, (0,1), (1,1), \infty_2, (1,2), (2,1), (4,2), (3,1), (10,2), (14,1), (4,1), (17,2), (11,2), (12,2), (16,2), (5,1), (9,2), (6,1), (9,1), (0,2), (10,1), (8,1), (6,2)) ((8,2), (13,1), (7,1), (15,1), (11,1), (18,1), (7,2), (18,2), (2,2), (16,1), (3,2), (15,2), (13,2)) ((12,1), (5,2), (14,2), (17,1)) "
"OP(23,12,5)",0,Solved,0.4027,0.0400,false,false," 0",0.4943,"(\infty_1, (13,1), (10,1), \infty_2, (10,2), (11,1), (0,2), (5,1), (2,2), (16,1), (18,1), (6,2), (9,2), (5,2), (14,2), (8,1), (1,1), (15,1), (0,1), (12,2), (4,2), (3,1), (18,2)) ((17,2), (14,1), (4,1), (17,1), (6,1), (7,1), (1,2), (8,2), (3,2), (12,1), (16,2), (15,2)) ((11,2), (2,1), (13,2), (7,2), (9,1)) "
"OP(23,11,6)",0,Solved,0.4027,0.0790,false,false," 14",0.5367,"(\infty_1, (3,1), (4,1), \infty_2, (9,2), (9,1), (1,2), (0,1), (6,2), (12,1), (2,1), (10,2), (17,2), (16,2), (7,2), (14,1), (10,1), (7,1), (5,1), (4,2), (8,2), (13,1), (11,2)) ((2,2), (18,1), (11,1), (17,1), (6,1), (1,1), (3,2), (14,2), (0,2), (15,1), (5,2)) ((12,2), (18,2), (8,1), (15,2), (13,2), (16,1)) "
"OP(23,11,3,3)",0,Solved,0.4027,0.1570,false,false," 11",0.6182,"(\infty_1, (12,1), (13,1), \infty_2, (2,2), (1,1), (12,2), (0,1), (9,2), (2,1), (17,1), (11,2), (3,2), (17,2), (4,2), (18,1), (7,1), (5,1), (14,1), (16,2), (18,2), (8,1), (6,2)) ((8,2), (9,1), (16,1), (3,1), (6,1), (11,1), (7,2), (14,2), (13,2), (10,1), (5,2)) ((0,2), (15,2), (15,1)) ((1,2), (10,2), (4,1)) "
"OP(23,10,7)",0,Solved,0.4027,0.0420,false,false," 17",0.4862,"(\infty_1, (0,1), (1,1), \infty_2, (3,2), (3,1), (4,2), (18,1), (6,2), (11,1), (15,1), (7,2), (10,2), (16,2), (8,2), (14,1), (8,1), (17,1), (12,1), (9,2), (18,2), (10,1), (13,2)) ((14,2), (5,1), (16,1), (13,1), (6,1), (4,1), (2,2), (0,2), (1,2), (2,1)) ((5,2), (12,2), (17,2), (7,1), (11,2), (15,2), (9,1)) "
"OP(23,10,4,3)",0,Solved,0.4027,0.1030,false,false," 14",0.5509,"(\infty_1, (3,1), (4,1), \infty_2, (9,2), (9,1), (1,2), (0,1), (7,2), (12,1), (2,1), (15,2), (18,2), (14,2), (5,2), (14,1), (10,1), (7,1), (5,1), (4,2), (6,2), (13,1), (11,2)) ((2,2), (18,1), (11,1), (17,1), (6,1), (1,1), (3,2), (8,2), (0,2), (15,1)) ((16,2), (10,2), (17,2), (8,1)) ((12,2), (13,2), (16,1)) "
"OP(23,9,8)",0,Solved,0.4027,0.0620,false,false," 17",0.5206,"(\infty_1, (12,1), (0,1), \infty_2, (2,2), (1,1), (5,2), (2,1), (10,2), (4,1), (3,1), (17,2), (16,2), (9,2), (0,2), (14,1), (6,2), (6,1), (16,1), (4,2), (11,1), (8,1), (18,2)) ((1,2), (5,1), (18,1), (7,1), (9,1), (13,1), (3,2), (8,2), (12,2)) ((10,1), (7,2), (13,2), (15,2), (17,1), (11,2), (14,2), (15,1)) "
"OP(23,9,5,3)",0,Solved,0.4027,0.0340,false,false," 14",0.4785,"(\infty_1, (8,1), (14,1), \infty_2, (0,2), (17,1), (16,2), (16,1), (14,2), (5,1), (3,1), (7,2), (6,2), (17,2), (1,2), (7,1), (3,2), (0,1), (9,1), (15,2), (4,1), (1,1), (2,2)) ((18,2), (10,1), (18,1), (11,1), (6,1), (2,1), (9,2), (13,2), (8,2)) ((13,1), (4,2), (11,2), (5,2), (12,1)) ((12,2), (10,2), (15,1)) "
"OP(23,9,4,4)",0,Solved,0.4027,0.0580,false,false," 17",0.5138,"(\infty_1, (12,1), (0,1), \infty_2, (2,2), (1,1), (5,2), (2,1), (10,2), (4,1), (3,1), (17,2), (14,2), (8,2), (0,2), (14,1), (6,2), (6,1), (16,1), (4,2), (11,1), (8,1), (18,2)) ((1,2), (5,1), (18,1), (7,1), (9,1), (13,1), (3,2), (12,2), (13,2)) ((17,1), (16,2), (11,2), (15,2)) ((10,1), (7,2), (9,2), (15,1)) "
"OP(23,8,6,3)",0,Solved,0.4027,0.1060,false,false," 1",0.5564,"(\infty_1, (1,1), (2,1), \infty_2, (1,2), (4,1), (5,2), (5,1), (3,2), (0,1), (3,1), (13,2), (8,2), (15,2), (14,2), (6,1), (14,1), (12,1), (8,1), (0,2), (16,2), (10,1), (17,2)) ((6,2), (13,1), (7,1), (16,1), (11,1), (18,1), (4,2), (10,2)) ((11,2), (9,1), (18,2), (7,2), (9,2), (15,1)) ((2,2), (12,2), (17,1)) "
"OP(23,8,5,4)",0,Solved,0.4698,0.0380,false,false," 2",0.4870,"(\infty_1, (1,1), (2,1), \infty_2, (0,2), (6,1), (1,2), (0,1), (3,2), (7,1), (3,1), (5,2), (11,2), (8,2), (12,2), (8,1), (18,2), (9,1), (18,1), (7,2), (10,1), (13,1), (13,2)) ((6,2), (14,1), (12,1), (4,1), (17,1), (5,1), (17,2), (15,2)) ((14,2), (15,1), (2,2), (10,2), (9,2)) ((11,1), (16,2), (4,2), (16,1)) "
"OP(23,8,3,3,3)",0,Solved,0.4027,0.0440,false,false," 18",0.4899,"(\infty_1, (0,1), (1,1), \infty_2, (2,2), (14,1), (3,2), (4,1), (4,2), (6,1), (11,1), (8,2), (9,2), (18,2), (10,2), (7,1), (18,1), (12,1), (16,1), (11,2), (14,2), (3,1), (16,2)) ((6,2), (13,1), (10,1), (8,1), (17,1), (5,1), (7,2), (0,2)) ((1,2), (15,1), (5,2)) ((12,2), (17,2), (2,1)) ((13,2), (15,2), (9,1)) "
"OP(23,7,7,3)",0,Solved,0.4027,0.1560,false,false," 16",0.6043,"(\infty_1, (16,1), (11,1), \infty_2, (14,2), (17,1), (12,2), (8,1), (17,2), (6,1), (10,1), (11,2), (6,2), (18,2), (0,2), (2,1), (14,1), (15,1), (18,1), (4,2), (13,2), (5,1), (15,2)) ((16,2), (3,1), (13,1), (7,1), (9,1), (1,1), (1,2)) ((2,2), (10,2), (4,1), (3,2), (9,2), (7,2), (0,1)) ((8,2), (5,2), (12,1)) "
"OP(23,7,6,4)",0,Solved,0.4027,0.0600,false,false," 0",0.5135,"(\infty_1, (0,1), (1,1), \infty_2, (1,2), (2,1), (4,2), (3,1), (10,2), (14,1), (4,1), (12,2), (7,2), (18,2), (16,2), (5,1), (9,2), (6,1), (9,1), (0,2), (10,1), (8,1), (6,2)) ((8,2), (13,1), (7,1), (15,1), (11,1), (18,1), (15,2)) ((17,2), (2,2), (16,1), (3,2), (13,2), (14,2)) ((12,1), (5,2), (11,2), (17,1)) "
"OP(23,7,5,5)",0,Solved,0.4027,0.1660,false,false," 12",0.6148,"(\infty_1, (12,1), (17,1), \infty_2, (5,2), (7,1), (15,2), (4,1), (18,2), (3,1), (6,1), (0,2), (7,2), (1,2), (16,2), (10,1), (8,1), (16,1), (9,1), (10,2), (2,2), (2,1), (14,2)) ((4,2), (18,1), (14,1), (15,1), (5,1), (11,1), (13,2)) ((6,2), (9,2), (0,1), (3,2), (8,2)) ((17,2), (1,1), (11,2), (12,2), (13,1)) "
"OP(23,7,4,3,3)",0,Solved,0.4027,0.2680,false,false," 7",0.7211,"(\infty_1, (10,1), (17,1), \infty_2, (10,2), (4,1), (0,2), (0,1), (16,2), (11,1), (6,1), (17,2), (12,2), (8,2), (5,2), (14,1), (15,1), (12,1), (2,1), (4,2), (6,2), (7,1), (15,2)) ((14,2), (5,1), (16,1), (18,1), (3,1), (9,1), (13,2)) ((9,2), (18,2), (1,1), (2,2)) ((7,2), (1,2), (13,1)) ((11,2), (3,2), (8,1)) "
"OP(23,6,6,5)",0,Solved,0.4027,0.0340,false,false," 11",0.4728,"(\infty_1, (10,1), (18,1), \infty_2, (7,2), (11,1), (8,2), (3,1), (4,2), (1,1), (0,1), (2,2), (3,2), (13,2), (0,2), (13,1), (9,1), (6,1), (4,1), (15,2), (11,2), (16,1), (16,2)) ((10,2), (17,1), (8,1), (14,1), (7,1), (12,1)) ((17,2), (12,2), (5,2), (15,1), (6,2), (14,2)) ((9,2), (5,1), (18,2), (1,2), (2,1)) "
"OP(23,6,5,3,3)",0,Solved,0.4698,0.1220,false,false," 5",0.5727,"(\infty_1, (13,1), (7,1), \infty_2, (2,2), (8,1), (15,2), (0,1), (17,2), (12,1), (3,1), (0,2), (6,2), (8,2), (11,2), (2,1), (5,1), (17,1), (9,1), (12,2), (3,2), (14,1), (16,2)) ((10,2), (6,1), (11,1), (15,1), (16,1), (18,1)) ((14,2), (18,2), (13,2), (1,1), (7,2)) ((9,2), (1,2), (10,1)) ((5,2), (4,2), (4,1)) "
"OP(23,6,4,4,3)",0,Solved,0.4027,0.0510,false,false," 17",0.4944,"(\infty_1, (0,1), (1,1), \infty_2, (3,2), (6,1), (4,2), (10,1), (6,2), (15,1), (17,1), (7,2), (10,2), (16,2), (8,2), (5,1), (18,1), (4,1), (14,1), (9,2), (18,2), (12,1), (13,2)) ((14,2), (7,1), (11,1), (8,1), (16,1), (9,1)) ((2,2), (0,2), (1,2), (2,1)) ((5,2), (12,2), (17,2), (13,1)) ((11,2), (15,2), (3,1)) "
"OP(23,5,5,4,3)",0,Solved,0.4027,0.0800,false,false," 0",0.5314,"(\infty_1, (7,1), (14,1), \infty_2, (14,2), (3,1), (0,2), (9,1), (3,2), (2,1), (10,1), (15,2), (17,2), (16,2), (8,2), (13,1), (15,1), (1,1), (17,1), (2,2), (6,2), (16,1), (18,2)) ((7,2), (0,1), (18,1), (8,1), (4,1)) ((6,1), (12,2), (5,2), (11,2), (12,1)) ((13,2), (10,2), (1,2), (5,1)) ((4,2), (9,2), (11,1)) "
"OP(23,5,4,4,4)",0,Solved,0.4027,0.0480,false,false," 17",0.5047,"(\infty_1, (0,1), (1,1), \infty_2, (3,2), (6,1), (4,2), (10,1), (6,2), (16,1), (18,1), (7,2), (10,2), (16,2), (8,2), (17,1), (4,1), (11,1), (14,1), (9,2), (18,2), (12,1), (13,2)) ((14,2), (7,1), (15,1), (5,1), (9,1)) ((2,1), (2,2), (0,2), (1,2)) ((13,1), (5,2), (12,2), (17,2)) ((8,1), (11,2), (15,2), (3,1)) "
"OP(23,5,3,3,3,3)",0,Solved,0.4027,0.0890,false,false," 0",0.5313,"(\infty_1, (9,1), (14,1), (17,1), (0,1), \infty_2, (0,2), (3,1), (10,2), (16,1), (1,1), (7,2), (2,2), (6,2), (12,2), (8,1), (13,2), (10,1), (11,1), (4,2), (1,2), (2,1), (11,2)) ((14,2), (6,1), (18,1), (12,1), (4,1)) ((15,1), (16,2), (5,1)) ((3,2), (7,1), (5,2)) ((9,2), (18,2), (17,2)) ((15,2), (8,2), (13,1)) "
"OP(23,4,4,3,3,3)",0,Solved,0.4027,0.3530,false,false," 12",0.7995,"(\infty_1, (17,1), (6,1), (16,1), (10,1), \infty_2, (17,2), (1,1), (15,2), (3,1), (2,1), (1,2), (6,2), (9,2), (13,2), (4,1), (12,2), (9,1), (7,1), (11,2), (18,2), (5,1), (3,2)) ((14,2), (12,1), (15,1), (8,1)) ((14,1), (18,1), (0,2), (0,1)) ((5,2), (13,1), (4,2)) ((8,2), (2,2), (10,2)) ((7,2), (16,2), (11,1)) "
"OP(22,15,3)",0,Solved,0.4027,0.0630,false,false," 0",0.5158,"(\infty_1, (0,1), (1,1), \infty_2, (1,2), (2,1), (4,2), (3,1), (17,2), (14,1), (4,1), (6,1), (10,2), (16,2), (18,2), (5,1), (15,2), (7,1), (10,1), (0,2), (11,2), (8,2)) ((2,2), (6,2), (13,1), (8,1), (12,1), (18,1), (11,1), (9,2), (14,2), (7,2), (15,1), (12,2), (13,2), (3,2), (16,1)) ((5,2), (9,1), (17,1)) "
"OP(22,14,4)",0,Solved,0.4027,0.0780,false,false," 3",0.5257,"(\infty_1, (2,1), (3,1), \infty_2, (0,2), (4,1), (3,2), (5,1), (17,2), (6,1), (8,1), (12,2), (18,2), (13,2), (10,2), (7,1), (7,2), (1,1), (11,1), (6,2), (15,2), (11,2)) ((16,2), (14,2), (9,1), (16,1), (10,1), (18,1), (14,1), (8,2), (9,2), (1,2), (0,1), (2,2), (13,1), (4,2)) ((15,1), (5,2), (17,1), (12,1)) "
"OP(22,13,5)",0,Solved,0.4027,0.0530,false,false," 17",0.4994,"(\infty_1, (12,1), (0,1), \infty_2, (2,2), (1,1), (5,2), (2,1), (12,2), (4,1), (3,1), (6,1), (13,2), (16,2), (7,2), (10,1), (4,2), (8,1), (17,1), (10,2), (14,2), (8,2)) ((17,2), (3,2), (5,1), (18,1), (7,1), (9,1), (13,1), (0,2), (11,2), (9,2), (14,1), (6,2), (18,2)) ((15,2), (15,1), (1,2), (11,1), (16,1)) "
"OP(22,12,6)",0,Solved,0.4027,0.1040,false,false," 7",0.5615,"(\infty_1, (1,1), (2,1), \infty_2, (14,2), (4,1), (2,2), (6,1), (8,2), (7,1), (13,1), (10,2), (15,2), (18,2), (0,2), (15,1), (4,2), (10,1), (17,1), (1,2), (16,2), (7,2)) ((5,2), (13,2), (14,1), (9,1), (5,1), (3,1), (0,1), (9,2), (11,2), (17,2), (12,1), (12,2)) ((16,1), (3,2), (11,1), (6,2), (18,1), (8,1)) "
